frame_number,x,y,w,h,center_x,ceter_y
0,477,274,40,31,497,289
1,477,272,41,31,497,287
2,478,273,41,32,498,289
3,478,274,41,32,498,290
4,479,275,42,32,500,291
5,480,280,42,32,501,296
6,481,277,42,33,502,293
7,481,281,42,33,502,297
8,480,281,43,33,501,297
9,480,282,43,34,501,299
10,479,280,44,34,501,297
11,479,278,44,34,501,295
12,479,277,44,34,501,294
13,479,277,44,35,501,294
14,480,277,45,35,502,294
15,480,278,45,35,502,295
16,480,278,45,35,502,295
17,480,279,45,36,502,297
18,480,279,46,36,503,297
19,480,280,45,36,502,298
20,480,280,46,36,503,298
21,480,281,46,36,503,299
22,480,281,46,36,503,299
23,481,282,46,37,504,300
24,481,283,47,37,504,301
25,481,284,47,38,504,303
26,481,286,48,38,505,305
27,481,287,49,39,505,306
28,481,289,49,39,505,308
29,481,290,49,39,505,309
30,481,292,49,39,505,311
31,481,294,49,39,505,313
32,480,287,49,39,504,306
33,481,289,52,39,507,308
34,481,286,51,40,506,306
35,482,283,50,41,507,303
36,481,282,51,41,506,302
37,481,282,51,41,506,302
38,482,283,50,41,507,303
39,482,283,52,40,508,303
40,481,283,54,40,508,303
41,481,283,54,40,508,303
42,481,284,55,41,508,304
43,481,284,55,41,508,304
44,481,285,55,41,508,305
45,482,286,56,43,510,307
46,483,286,56,45,511,308
47,481,288,56,44,509,310
48,483,288,55,45,510,310
49,482,289,56,44,510,311
50,481,291,53,44,507,313
51,482,289,56,44,510,311
52,482,288,60,45,512,310
53,482,289,60,45,512,311
54,482,289,59,45,511,311
55,482,290,59,45,511,312
56,482,290,58,45,511,312
57,482,290,57,45,510,312
58,482,290,57,46,510,313
59,482,290,56,46,510,313
60,482,290,56,46,510,313
61,481,290,57,46,509,313
62,480,290,59,46,509,313
63,479,290,61,46,509,313
64,478,290,62,47,509,313
65,478,291,62,47,509,314
66,477,291,62,47,508,314
67,476,292,62,48,507,316
68,476,292,62,49,507,316
69,475,293,62,50,506,318
70,474,293,62,50,505,318
71,472,293,62,50,503,318
72,471,293,64,50,503,318
73,469,293,65,50,501,318
74,468,293,65,51,500,318
75,467,293,65,51,499,318
76,465,293,66,52,498,319
77,463,293,66,52,496,319
78,462,293,66,53,495,319
79,460,293,67,53,493,319
80,458,293,67,54,491,320
81,456,293,67,54,489,320
82,455,293,67,55,488,320
83,453,293,66,55,486,320
84,452,294,66,54,485,321
85,450,295,65,54,482,322
86,449,296,64,54,481,323
87,448,297,63,53,479,323
88,445,298,64,53,477,324
89,442,299,66,52,475,325
90,439,300,69,51,473,325
91,436,302,68,52,470,328
92,434,303,67,53,467,329
93,431,305,66,54,464,332
94,429,304,67,54,462,331
95,427,304,67,54,460,331
96,424,304,68,55,458,331
97,422,304,68,55,456,331
98,420,304,69,55,454,331
99,418,304,69,55,452,331
100,415,304,70,55,450,331
101,413,304,70,56,448,332
102,411,304,71,56,446,332
103,409,304,72,56,445,332
104,406,304,72,56,442,332
105,404,303,71,56,439,331
106,402,303,71,56,437,331
107,400,303,71,56,435,331
108,398,303,71,56,433,331
109,396,302,70,56,431,330
110,394,302,70,56,429,330
111,391,302,70,55,426,329
112,388,302,70,55,423,329
113,385,302,71,55,420,329
114,383,302,70,55,418,329
115,380,302,70,55,415,329
116,377,302,71,55,412,329
117,375,302,70,54,410,329
118,372,302,71,54,407,329
119,369,302,71,54,404,329
120,367,303,71,54,402,330
121,364,303,71,54,399,330
122,361,303,71,54,396,330
123,358,303,72,54,394,330
124,356,303,72,54,392,330
125,353,303,72,54,389,330
126,350,303,72,54,386,330
127,348,303,72,54,384,330
128,345,303,73,54,381,330
129,342,303,73,54,378,330
130,340,303,73,55,376,330
131,337,302,73,55,373,329
132,335,301,72,55,371,328
133,333,301,72,55,369,328
134,331,300,72,55,367,327
135,329,300,72,55,365,327
136,326,299,72,55,362,326
137,324,298,72,55,360,325
138,322,298,72,55,358,325
139,320,297,71,55,355,324
140,318,297,71,55,353,324
141,315,297,71,55,350,324
142,313,297,71,54,348,324
143,311,297,71,54,346,324
144,309,297,71,53,344,323
145,307,297,71,53,342,323
146,305,297,70,52,340,323
147,303,297,70,52,338,323
148,301,297,70,51,336,322
149,299,297,70,51,334,322
150,297,298,70,50,332,323
151,292,299,65,51,324,324
152,289,298,66,51,322,323
153,287,298,66,51,320,323
154,285,297,68,51,319,322
155,283,297,68,51,317,322
156,281,297,69,50,315,322
157,278,296,70,54,313,323
158,276,296,69,52,310,322
159,274,296,68,51,308,321
160,273,296,66,50,306,321
161,270,296,66,50,303,321
162,268,295,66,51,301,320
163,266,295,66,51,299,320
164,264,295,66,51,297,320
165,262,294,66,52,295,320
166,260,294,66,52,293,320
167,258,294,66,52,291,320
168,256,294,66,52,289,320
169,254,294,66,51,287,319
170,253,294,65,50,285,319
171,252,294,65,50,284,319
172,250,293,66,50,283,318
173,249,292,65,49,281,316
174,247,292,65,48,279,316
175,246,291,65,47,278,314
176,245,291,65,47,277,314
177,244,291,64,47,276,314
178,243,291,64,47,275,314
179,241,292,64,46,273,315
180,240,292,63,46,271,315
181,239,292,63,46,270,315
182,238,292,63,47,269,315
183,237,292,63,46,268,315
184,236,292,62,46,267,315
185,235,292,62,46,266,315
186,233,293,62,46,264,316
187,232,293,61,46,262,316
188,231,293,61,46,261,316
189,230,293,61,46,260,316
190,229,293,61,46,259,316
191,228,293,60,46,258,316
192,227,293,60,46,257,316
193,225,294,60,45,255,316
194,224,294,60,46,254,317
195,223,294,59,46,252,317
196,222,294,59,46,251,317
197,221,294,59,45,250,316
198,220,294,58,45,249,316
199,219,294,58,45,248,316
200,218,295,58,45,247,317
201,217,295,58,45,246,317
202,216,295,58,45,245,317
203,216,295,57,44,244,317
204,215,295,57,44,243,317
205,215,295,57,44,243,317
206,214,295,57,44,242,317
207,213,295,57,44,241,317
208,213,295,57,44,241,317
209,212,295,56,43,240,316
210,212,295,56,43,240,316
211,211,295,56,43,239,316
212,211,295,56,43,239,316
213,211,295,56,42,239,316
214,211,295,56,42,239,316
215,211,294,56,42,239,315
216,211,294,55,42,238,315
217,211,294,55,41,238,314
218,211,294,55,41,238,314
219,211,294,55,41,238,314
220,211,294,55,41,238,314
221,211,294,55,41,238,314
222,212,294,55,41,239,314
223,212,294,55,40,239,314
224,213,294,55,40,240,314
225,213,294,54,40,240,314
226,214,295,54,40,241,315
227,215,294,53,40,241,314
228,216,294,53,40,242,314
229,217,293,52,40,243,313
230,218,293,51,40,243,313
231,219,293,51,38,244,312
232,219,293,52,37,245,311
233,221,293,49,36,245,311
234,220,291,50,36,245,309
235,221,290,50,36,246,308
236,223,290,50,36,248,308
237,224,289,50,35,249,306
238,226,288,50,35,251,305
239,228,288,50,35,253,305
240,230,288,46,36,253,306
241,231,288,47,35,254,305
242,233,287,47,35,256,304
243,235,287,46,35,258,304
244,237,287,46,34,260,304
245,238,287,46,34,261,304
246,240,287,45,34,262,304
247,242,287,45,34,264,304
248,244,287,45,34,266,304
249,247,287,45,35,269,304
250,249,286,45,36,271,304
251,252,286,45,36,274,304
252,255,286,44,35,277,303
253,257,286,44,35,279,303
254,260,286,44,34,282,303
255,263,286,44,34,285,303
256,266,287,43,33,287,303
257,268,286,43,33,289,302
258,271,286,43,33,292,302
259,274,285,43,33,295,301
260,277,285,43,33,298,301
261,280,284,42,33,301,300
262,283,284,42,33,304,300
263,286,283,42,33,307,299
264,289,283,42,33,310,299
265,292,283,42,32,313,299
266,295,282,42,32,316,298
267,298,282,41,32,318,298
268,301,281,41,32,321,297
269,304,281,41,32,324,297
270,307,280,41,32,327,296
271,310,280,40,32,330,296
272,313,279,40,32,333,295
273,316,279,40,31,336,294
274,319,279,40,31,339,294
275,322,278,40,31,342,293
276,325,278,39,31,344,293
277,328,278,39,31,347,293
278,331,278,40,31,351,293
279,334,278,39,31,353,293
280,337,278,39,31,356,293
281,340,278,39,31,359,293
282,344,277,38,31,363,292
283,347,277,38,31,366,292
284,350,277,38,31,369,292
285,353,277,37,31,371,292
286,355,277,37,31,373,292
287,357,277,37,31,375,292
288,360,278,37,30,378,293
289,365,276,37,30,383,291
290,367,276,37,30,385,291
291,370,276,37,30,388,291
292,373,275,36,30,391,290
293,375,275,36,29,393,289
294,378,275,36,29,396,289
295,381,275,36,29,399,289
296,384,275,35,29,401,289
297,386,275,35,29,403,289
298,389,275,35,29,406,289
299,392,276,35,28,409,290
